id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
631,EC8060242797774152023102322095157.wav,00:01:49,media/1698392934/EC8060242797774152023102322095157.wav,ptcl,In Progress,,2023-10-27 07:48:54,
630,EC8060242797768902023102322002244.wav,00:02:50,media/1698392933/EC8060242797768902023102322002244.wav,ptcl,In Progress,,2023-10-27 07:48:54,
629,EC8060242797757882023102322124609.wav,00:06:59,media/1698392933/EC8060242797757882023102322124609.wav,ptcl,In Progress,,2023-10-27 07:48:54,
628,EC8060142678766322023102322105375.wav,00:09:14,media/1698392933/EC8060142678766322023102322105375.wav,ptcl,In Progress,,2023-10-27 07:48:54,
627,EC8060242797760442023102322051275.wav,00:02:27,media/1698392933/EC8060242797760442023102322051275.wav,ptcl,In Progress,,2023-10-27 07:48:54,
626,EC8060242797723892023102321481663.wav,00:09:30,media/1698392933/EC8060242797723892023102321481663.wav,ptcl,In Progress,,2023-10-27 07:48:53,
625,EC8060142678741002023102322014647.wav,00:07:31,media/1698392932/EC8060142678741002023102322014647.wav,ptcl,In Progress,,2023-10-27 07:48:53,
624,EC5982742586753272023102322045420.wav,00:07:14,media/1698392932/EC5982742586753272023102322045420.wav,ptcl,In Progress,,2023-10-27 07:48:53,
623,EC8060042569768262023102322051709.wav,00:02:48,media/1698392932/EC8060042569768262023102322051709.wav,ptcl,In Progress,,2023-10-27 07:48:53,
622,EC8060142678757362023102321582832.wav,00:01:26,media/1698392932/EC8060142678757362023102321582832.wav,ptcl,In Progress,,2023-10-27 07:48:53,
621,EC8058642662756582023102321581167.wav,00:05:45,media/1698392931/EC8058642662756582023102321581167.wav,ptcl,In Progress,,2023-10-27 07:48:52,
620,EC8060042569729292023102322101368.wav,00:02:55,media/1698392931/EC8060042569729292023102322101368.wav,ptcl,In Progress,,2023-10-27 07:48:52,
619,EC8060042569688702023102322142971.wav,00:03:34,media/1698392931/EC8060042569688702023102322142971.wav,ptcl,In Progress,,2023-10-27 07:48:52,
